"congress","chamber","screen_name","bioguide_id","member","account_type","handle_type"
"115","House","REPLAWRENCE","L000581","Brenda Lawrence","office","screen_name"
"115","House","REPJASONLEWIS","L000587","Jason Lewis","office","screen_name"
"115","House","REPCLEAVER","C001061","Emanuel Cleaver","office","screen_name"
"115","House","REPJOSHG","G000583","Josh Gottheimer","office","screen_name"
"115","House","NYDIAVELAZQUEZ","V000081","Nydia Velazquez","office","screen_name"
"115","House","REPYVETTECLARKE","C001067","Yvette Clarke","office","screen_name"
"115","House","REPDANDONOVAN","D000625","Dan Donovan","office","screen_name"
"115","House","REPSEANMALONEY","M001185","Sean Maloney","office","screen_name"
"115","House","REPTOMREED","R000585","Tom Reed","office","screen_name"
"115","House","REPWALTERJONES","J000255","Walter B. Jones","office","screen_name"
"115","House","REPBEATTY","B001281","Joyce Beatty","office","screen_name"
"115","House","CONGRESSMANGT","T000467","Glenn Thompson","office","screen_name"
"115","House","REPLOUBARLETTA","B001269","Lou Barletta","office","screen_name"
"115","House","REPRYANCOSTELLO","C001106","Ryan Costello","office","screen_name"
"115","House","REPPETERDEFAZIO","D000191","Peter DeFazio","office","screen_name"
"115","House","REPMARCYKAPTUR","K000009","Marcy Kaptur","office","screen_name"
"115","House","REPSTEVESTIVERS","S001187","Steve Stivers","office","screen_name"
"115","House","REPBRADY","B001227","Bob Brady","office","screen_name"
"115","House","REPBILLJOHNSON","J000292","Bill Johnson","office","screen_name"
"115","House","REPRUSSELL","R000604","Steve Russell","office","screen_name"
"115","House","REPSCOTTPERRY","P000605","Scott Perry","office","screen_name"
"115","House","REPSCHRADER","S001180","Kurt Schrader","office","screen_name"
"115","House","REPJIMRENACCI","R000586","Jim Renacci","office","screen_name"
"115","House","REPJBRIDENSTINE","B001283","Jim Bridenstine","office","screen_name"
"115","House","KEITHROTHFUS","R000598","Keith Rothfus","office","screen_name"
"115","House","CONGBOYLE","B001296","Brendan Boyle","office","screen_name"
"115","House","REPJOEWILSON","W000795","Joe Wilson","office","screen_name"
"115","House","REPTOMRICE","R000597","Tom Rice","office","screen_name"
"115","House","REPGONZALEZ","G000581","Vicente Gonzalez","office","screen_name"
"115","House","LAMARSMITHTX21","S000583","Lamar Smith","office","screen_name"
"115","House","JUDGETEDPOE","P000592","Ted Poe","office","screen_name"
"115","House","JOAQUINCASTROTX","C001091","Joaquin Castro","office","screen_name"
"115","House","MACTXPRESS","T000238","Mac Thornberry","office","screen_name"
"115","House","REPKRISTINOEM","N000184","Kristi Noem","office","screen_name"
"115","House","MARSHABLACKBURN","B001243","Marsha Blackburn","office","screen_name"
"115","House","CLYBURN","C000537","Jim Clyburn","office","prev_names"
"115","House","REPDIANEBLACK","B001273","Diane Black","office","screen_name"
"115","House","REPCARTWRIGHT","C001090","Matt Cartwright","office","screen_name"
"115","House","REPMCCAUL","M001157","Michael McCaul","office","screen_name"
"115","House","REPARRINGTON","A000375","Jodey Arrington","office","screen_name"
"115","House","USREPMIKEDOYLE","D000482","Michael F. Doyle","office","screen_name"
"115","House","REPCOHEN","C001068","Steve Cohen","office","screen_name"
"115","House","DRPHILROE","R000582","Phil Roe","office","screen_name"
"115","House","REPCICILLINE","C001084","David Cicilline","office","screen_name"
"115","House","REPBETOOROURKE","O000170","Beto O'Rourke","office","screen_name"
"115","House","REPCHUCK","F000459","Chuck Fleischmann","office","screen_name"
"115","House","REPMIALOVE","L000584","Mia Love","office","screen_name"
"115","House","REPEBJ","J000126","Eddie Bernice Johnson","office","screen_name"
"115","House","ROBWITTMAN","W000804","Rob Wittman","office","screen_name"
"115","House","GERRYCONNOLLY","C001078","Gerry Connolly","office","screen_name"
"115","House","REPVEASEY","V000131","Mark Veasey","office","screen_name"
"115","House","REPRWILLIAMS","W000816","Roger Williams","office","screen_name"
"115","House","REPBRIANBABIN","B001291","Brian Babin","office","screen_name"
"115","House","REPROBBISHOP","B001250","Rob Bishop","office","screen_name"
"115","House","REPCOMSTOCK","C001105","Barbara Comstock","office","screen_name"
"115","House","JUDGECARTER","C001051","John Carter","office","screen_name"
"115","House","REPMCEACHIN","M001200","Donald McEachin","office","screen_name"
"115","House","REPCUELLAR","C001063","Henry Cuellar","office","screen_name"
"115","House","REPGWENMOORE","M001160","Gwen Moore","office","screen_name"
"115","House","REPGALLAGHER","G000579","Mike Gallagher","office","screen_name"
"115","House","REPDENNYHECK","H001064","Denny Heck","office","screen_name"
"115","House","CATHYMCMORRIS","M001159","Cathy McMorris Rodgers","office","screen_name"
"115","House","REPJAYAPAL","J000298","Pramila Jayapal","office","screen_name"
"115","House","REPMCKINLEY","M001180","David McKinley","office","screen_name"
"115","House","REPGROTHMAN","G000576","Glenn Grothman","office","screen_name"
"115","House","DAVEREICHERT","R000578","Dave Reichert","office","screen_name"
"115","House","REPDONBEYER","B001292","Don Beyer","office","screen_name"
"115","House","REPGOODLATTE","G000289","Bob Goodlatte","office","screen_name"
"115","House","HERRERABEUTLER","H001056","Jaime Herrera Beutler","office","screen_name"
"115","House","STACEYPLASKETT","P000610","Stacey Plaskett","office","screen_name"
"115","House","REPALLAWSONJR","L000586","Al Lawson","office","screen_name"
"115","House","REPJUDYCHU","C001080","Judy Chu","office","screen_name"
"115","House","REPDAVIDVALADAO","V000129","David Valadao","office","screen_name"
"115","House","STEVEKINGIA","K000362","Steve King","office","screen_name"
"115","House","REPABRAHAM","A000374","Ralph Abraham","office","screen_name"
"115","House","REPMARTHAROBY","R000591","Martha Roby","office","screen_name"
"115","House","REPMIKEROGERSAL","R000575","Mike Rogers","office","screen_name"
"115","House","JEFFFORTENBERRY","F000449","Jeff Fortenberry","office","screen_name"
"115","House","JANSCHAKOWSKY","S001145","Jan Schakowsky","office","screen_name"
"115","House","REPJUANVARGAS","V000130","Juan Vargas","office","screen_name"
"115","House","SCOTTTAYLORVA","T000477","Scott Taylor","campaign","screen_name"
"115","House","REPWESTERMAN","W000821","Bruce Westerman","office","screen_name"
"115","House","CONGRESSMANHICE","H001071","Jody Hice","office","screen_name"
"115","House","REPPAULCOOK","C001094","Paul Cook","office","screen_name"
"115","House","CHELLIEPINGREE","P000597","Chellie Pingree","office","screen_name"
"115","House","REPBOBBYRUSH","R000515","Bobby Rush","office","screen_name"
"115","House","REPANDYBIGGSAZ","B001302","Andy Biggs","office","screen_name"
"115","House","REPRUBENGALLEGO","G000574","Ruben Gallego","office","screen_name"
"115","House","REPROYBALALLARD","R000486","Lucille Roybal-Allard","office","screen_name"
"115","House","REPHALROGERS","R000395","Hal Rogers","office","screen_name"
"115","House","BRETTGUTHRIE","G000558","Brett Guthrie","campaign","screen_name"
"115","House","NIKIINTHEHOUSE","T000465","Niki Tsongas","office","screen_name"
"115","House","REPDAVID","S001183","David Schweikert","office","screen_name"
"115","House","REPMIKECOFFMAN","C001077","Mike Coffman","office","screen_name"
"115","House","REPCURBELO","C001107","Carlos Curbelo","office","screen_name"
"115","House","REPDONBACON","B001298","Don Bacon","office","screen_name"
"115","House","REPROONEY","R000607","Francis Rooney","office","screen_name"
"115","House","REPJOHNLARSON","L000557","John B. Larson","office","screen_name"
"115","House","REPBOST","B001295","Mike Bost","office","screen_name"
"115","House","TODDROKITA","R000592","Todd Rokita","office","screen_name"
"115","House","REPLIPINSKI","L000563","Dan Lipinski","office","screen_name"
"115","House","REPGOSAR","G000565","Paul Gosar","office","screen_name"
"115","House","REPPERLMUTTER","P000593","Ed Perlmutter","office","screen_name"
"115","House","REPSCOTTPETERS","P000608","Scott Peters","office","screen_name"
"115","House","REPMOBROOKS","B001274","Mo Brooks","office","screen_name"
"115","House","REPTHOMASMASSIE","M001184","Thomas Massie","office","screen_name"
"115","House","REPTERRISEWELL","S001185","Terri Sewell","office","screen_name"
"115","House","REPROKHANNA","K000389","Ro Khanna","office","screen_name"
"115","House","REPMIKEQUIGLEY","Q000023","Mike Quigley","office","screen_name"
"115","House","RAUL_LABRADOR","L000573","Raul Labrador","office","screen_name"
"115","House","REPJACKBERGMAN","B001301","Jack Bergman","office","screen_name"
"115","House","ANTHONYBROWNMD4","B001304","Anthony G. Brown","campaign","screen_name"
"115","House","USREPKCASTOR","C001066","Kathy Castor","office","screen_name"
"115","House","REPLUKEMESSER","M001189","Luke Messer","office","screen_name"
"115","House","JUSTINAMASH","A000367","Justin Amash","office","screen_name"
"115","House","DAVELOEBSACK","L000565","Dave Loebsack","office","screen_name"
"115","House","REP_HUNTER","H001048","Duncan Hunter","office","screen_name"
"115","House","REPPAULMITCHELL","M001201","Paul Mitchell","office","screen_name"
"115","House","REPKEVINYODER","Y000063","Kevin Yoder","office","screen_name"
"115","House","REPJIMMYPANETTA","P000613","Jimmy Panetta","office","screen_name"
"115","House","REPJOEKENNEDY","K000379","Joseph Kennedy III","office","screen_name"
"115","House","REPKENBUCK","B001297","Ken Buck","office","screen_name"
"115","House","REPANDYBARR","B001282","Andy Barr","office","screen_name"
"115","House","REPAMATA","R000600","Amata Coleman Radewagen","office","screen_name"
"115","House","REPBERA","B001287","Ami Bera","office","screen_name"
"115","House","REPVISCLOSKY","V000108","Pete Visclosky","office","screen_name"
"115","House","REPSINEMA","S001191","Kyrsten Sinema","office","prev_names"
"115","House","STEVESCALISE","S001176","Steve Scalise","office","screen_name"
"115","House","REPVALDEMINGS","D000627","Val Demings","office","screen_name"
"115","House","REPMCCLINTOCK","M001177","Tom McClintock","office","screen_name"
"115","House","REPDEREKKILMER","K000381","Derek Kilmer","office","screen_name"
"115","House","REPLAHOOD","L000585","Darin LaHood","office","screen_name"
"115","House","REPDEBDINGELL","D000624","Debbie Dingell","office","screen_name"
"115","House","REPBRIANMAST","M001199","Brian Mast","office","screen_name"
"115","House","REPDAVIDSCOTT","S001157","David Scott","office","screen_name"
"115","House","REPOHALLERAN","O000171","Tom O'Halleran","office","screen_name"
"115","House","REPPETEAGUILAR","A000371","Pete Aguilar","office","screen_name"
"115","House","USREPKEATING","K000375","Bill Keating","office","screen_name"
"115","House","BRADSHERMAN","S000344","Brad Sherman","office","screen_name"
"115","House","CALL_ME_DUTCH","R000576","Dutch Ruppersberger","office","screen_name"
"115","House","REPDENNISROSS","R000593","Dennis A. Ross","office","screen_name"
"115","House","REPCUMMINGS","C000984","Elijah Cummings","office","screen_name"
"115","House","PETERROSKAM","R000580","Peter Roskam","office","screen_name"
"115","House","REPFRENCHHILL","H001072","French Hill","office","screen_name"
"115","House","RODNEYDAVIS","D000619","Rodney Davis","office","screen_name"
"115","House","REPRICKALLEN","A000372","Rick W. Allen","office","screen_name"
"115","House","REPJOHNLEWIS","L000287","John Lewis","office","screen_name"
"115","House","REPDAVIDYOUNG","Y000066","David Young","office","screen_name"
"115","House","REPMCSALLY","M001197","Martha McSally","office","prev_names"
"115","House","REPGARAMENDI","G000559","John Garamendi","office","screen_name"
"115","House","REPRODBLUM","B001294","Rod Blum","office","screen_name"
"115","House","REPHANKJOHNSON","J000288","Hank Johnson","office","screen_name"
"115","House","REPWILSON","W000808","Frederica Wilson","office","screen_name"
"115","House","CONGMIKESIMPSON","S001148","Mike Simpson","office","screen_name"
"115","House","REPLOWENTHAL","L000579","Alan Lowenthal","office","screen_name"
"115","House","REPBILLFOSTER","F000454","Bill Foster","office","screen_name"
"115","House","REPBLUMENAUER","B000574","Earl Blumenauer","campaign","screen_name"
"115","House","REPMARKTAKANO","T000472","Mark Takano","office","screen_name"
"115","House","MARIODB","D000600","Mario Diaz-Balart","office","screen_name"
"115","House","REPSARBANES","S001168","John Sarbanes","office","screen_name"
"115","House","REPHANABUSA","H001050","Colleen Hanabusa","office","screen_name"
"115","House","REPROBWOODALL","W000810","Rob Woodall","office","screen_name"
"115","House","REPLAMALFA","L000578","Doug LaMalfa","office","screen_name"
"115","House","CONGRESSMANRAJA","K000391","Raja Krishnamoorthi","office","screen_name"
"115","House","REPSTEPHMURPHY","M001202","Stephanie Murphy","office","screen_name"
"115","House","DANAROHRABACHER","R000409","Dana Rohrabacher","campaign","screen_name"
"115","House","REPCARDENAS","C001097","Tony Cardenas","office","screen_name"
"115","House","ELEANORNORTON","N000147","Eleanor Holmes Norton","office","screen_name"
"115","House","REPANDRECARSON","C001072","Andre Carson","office","screen_name"
"115","House","REPSCHNEIDER","S001190","Brad Schneider","office","screen_name"
"115","House","DORISMATSUI","M001163","Doris Matsui","office","screen_name"
"115","House","GRACENAPOLITANO","N000179","Grace Napolitano","office","screen_name"
